cat_code,category1,category2,category3,category4,std_6,growth_rate_6,std_12,growth_rate_12,std_24,growth_rate_24,std_36,growth_rate_36,analyze_date,
50004674,식품,축산,축산가공식품,소시지,12.206446403039248,-1.1054249094017083,11.077670758058433,-0.3319349526167497,10.67930589529419,0.014572092553078397,10.259660019853438,0.06411005376870907,2023-07-13,
50004674,식품,축산물,축산가공식품,소시지,12.206446403039248,-1.1054249094017083,11.077670758058433,-0.3319349526167497,10.67930589529419,0.014572092553078397,10.259660019853438,0.06411005376870907,2023-07-13,
50004665,식품,축산,축산가공식품,쇠고기양념육,24.37490357689081,-0.3496503146853158,29.20309648590679,-0.911330108374384,19.711506015428718,-0.5286293714180558,20.016765813156024,-0.2272473193202147,2023-07-13,
50004675,식품,축산,축산가공식품,순대,25.832602470181406,-2.5717153504273504,19.15672817659278,-0.07198151199521884,14.312982414431831,0.07700112306625426,12.489885670129535,0.08386106380490277,2023-07-13,
50004675,식품,축산물,축산가공식품,순대,25.832602470181406,-2.5717153504273504,19.15672817659278,-0.07198151199521884,14.312982414431831,0.07700112306625426,12.489885670129535,0.08386106380490277,2023-07-13,
50004680,식품,축산,축산가공식품,오리가공품,,,,,16.639005347132624,0.2258696400043766,15.226423760962488,-0.01984514853685619,2023-07-13,
50004680,식품,축산물,오리고기,생오리,,,,,16.639005347132624,0.2258696400043766,15.226423760962488,-0.01984514853685619,2023-07-13,
50004667,식품,축산,축산가공식품,오리양념육,,,0.1,0.0,27.264750012721553,-0.24379602108036894,22.173861576078806,-0.1374724525299811,2023-07-13,
50004667,식품,축산물,축산가공식품,오리양념육,,,0.1,0.0,27.264750012721553,-0.24379602108036894,22.173861576078806,-0.1374724525299811,2023-07-13,
50002456,식품,축산,축산가공식품,오리훈제,,,,,17.56799965081262,-0.3215104168946269,15.357215747727917,-0.01004807070831823,2023-07-13,
50002456,식품,축산물,오리고기,오리훈제,,,,,17.56799965081262,-0.3215104168946269,15.357215747727917,-0.01004807070831823,2023-07-13,
50004676,식품,축산,축산가공식품,육포,17.431857010048603,-1.4912365162393164,16.68528929583705,-0.11264832707248323,15.017914859520705,0.07558819470820453,14.563827229718642,0.039974804238908875,2023-07-13,
50004676,식품,축산물,축산가공식품,육포,17.431857010048603,-1.4912365162393164,16.68528929583705,-0.11264832707248323,15.017914859520705,0.07558819470820453,14.563827229718642,0.039974804238908875,2023-07-13,
50004670,식품,축산,축산가공식품,족발,24.875223798975185,-1.9600672307692302,18.641357167329545,0.05659215743191342,13.953393608789463,0.1359125726554999,13.721164612719939,0.17804618408117462,2023-07-13,
50004670,식품,축산물,축산가공식품,족발,24.875223798975185,-1.9600672307692302,18.641357167329545,0.05659215743191342,13.953393608789463,0.1359125726554999,13.721164612719939,0.17804618408117462,2023-07-13,
50004673,식품,축산,축산가공식품,햄,17.242822627875874,-1.531440174358975,16.131019003518187,-0.2784690301374538,16.174225158540736,-0.038821511362423906,15.516896373568795,-0.011444083529579072,2023-07-13,
